UID        PID  PPID  C STIME TTY          TIME CMD
anonymized   7151  9368  0 Oct28 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
anonymized   7164  9368  0 Oct28 ?        00:00:07 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
anonymized   7166  9368  0 Oct28 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
uuidd     7362     1  0 16:47 ?        00:00:00 /usr/sbin/uuidd --socket-activation
root      7430     1  0 16:48 ?        00:00:00 /usr/sbin/cupsd -l
root      7431     1  0 16:48 ?        00:00:00 /usr/sbin/cups-browsed
lp        7517  7430  0 16:48 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp        7597  7430  0 16:48 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
anonymized   7616  5027  0 Oct30 ?        00:00:08 /home/anonymized/.vscode/extensions/ms-vscode.cpptools-1.0.1/bin/cpptools-srv 5027 207
root      7668  9368  0 16:48 ?        00:00:00 /usr/sbin/vmware-authdlauncher
anonymized   7875  5027  0 Oct30 ?        00:00:07 /home/anonymized/.vscode/extensions/ms-vscode.cpptools-1.0.1/bin/cpptools-srv 5027 216
anonymized   7907  5027  0 Oct30 ?        00:00:07 /home/anonymized/.vscode/extensions/ms-vscode.cpptools-1.0.1/bin/cpptools-srv 5027 217
anonymized   9182     1  9 Oct27 ?        09:26:06 fcitx
root      9196  1365  0 Oct27 tty7     00:37:17 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      9260  1365  0 Oct27 ?        00:00:00 lightdm --session-child 12 19
anonymized   9366     1  0 Oct27 ?        00:00:19 /usr/bin/gnome-keyring-daemon --daemonize --login
anonymized   9368  9260  0 Oct27 ?        00:00:01 /sbin/upstart --user
anonymized   9441  9368  0 Oct27 ?        00:00:00 upstart-udev-bridge --daemon --user
anonymized   9449  9368  0 Oct27 ?        00:00:59 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-OORUog8WBX
anonymized   9461  9368  0 Oct27 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
anonymized   9480  9368  0 Oct27 ?        00:00:10 /usr/bin/fcitx
anonymized   9486  9368  0 Oct27 ?        00:00:06 upstart-dbus-bridge --daemon --session --user --bus-name session
anonymized   9487  9368  0 Oct27 ?        00:00:00 upstart-dbus-bridge --daemon --system --user --bus-name system
anonymized   9498  9368  0 Oct27 ?        00:00:00 upstart-file-bridge --daemon --user
anonymized   9519  9368  0 Oct27 ?        00:00:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --config-file /usr/share/fcitx/dbus/daemon.conf
anonymized   9523  9368  0 Oct27 ?        00:00:00 /usr/bin/fcitx-dbus-watcher unix:abstract=/tmp/dbus-2wrAqV55lv,guid=bb27ab288b56ffe8e86943f25f9830fa 9519
anonymized   9532  9368  0 Oct27 ?        00:00:21 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
anonymized   9535  9368  0 Oct27 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
anonymized   9542  9535  0 Oct27 ?        00:00:04 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
anonymized   9545  9368  0 Oct27 ?        00:00:23 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
anonymized   9547  9368  0 Oct27 ?        00:00:00 /usr/lib/gvfs/gvfsd
anonymized   9554  9368  0 Oct27 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
anonymized   9562  9368  0 Oct27 ?        00:00:11 gpg-agent --homedir /home/anonymized/.gnupg --use-standard-socket --daemon
anonymized   9572  9368  0 Oct27 ?        00:02:54 /usr/lib/x86_64-linux-gnu/hud/hud-service
anonymized   9574  9368  0 Oct27 ?        00:00:08 /usr/lib/unity-settings-daemon/unity-settings-daemon
anonymized   9582  9368  0 Oct27 ?        00:00:02 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
anonymized   9591  9368  0 Oct27 ?        00:02:44 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
anonymized   9612  9368  0 Oct27 ?        00:00:00 /usr/lib/dconf/dconf-service
anonymized   9641  9368  0 Oct27 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
anonymized   9642  9368  0 Oct27 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
anonymized   9643  9368  0 Oct27 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
anonymized   9647  9368  0 Oct27 ?        00:00:05 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
anonymized   9649  9368  0 Oct27 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
anonymized   9653  9368  0 Oct27 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
anonymized   9655  9368  0 Oct27 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
anonymized   9656  9368  0 Oct27 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
anonymized   9664  9368  0 Oct27 ?        00:00:02 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
anonymized   9693  9368  0 Oct27 ?        00:29:09 compiz
anonymized   9707  9368  0 Oct27 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
anonymized   9723  9368  0 Oct27 ?        00:00:01 /usr/lib/x86_64-linux-gnu/notify-osd
anonymized   9751  9368  0 Oct27 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
anonymized   9756  9582  0 Oct27 ?        00:00:14 /usr/bin/gnome-software --gapplication-service
anonymized   9759  9582  0 Oct27 ?        00:00:00 nm-applet
anonymized   9760  9582  0 Oct27 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
anonymized   9761  9582  0 Oct27 ?        00:01:09 nautilus -n
anonymized   9775  9582  0 Oct27 ?        00:00:01 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
anonymized   9791  9368  0 Oct27 ?        00:00:01 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
anonymized   9819  9368  0 Oct27 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
anonymized   9828  9368  0 Oct27 ?        00:00:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
anonymized   9834  9368  0 Oct27 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
